ZipCode,City,State,Latitude,Longitude,Classification,Population
75850,LEONA,TX,31.1415,-95.8959,,596
75852,MIDWAY,TX,30.9819,-95.7545,,3621
75853,MONTALBA,TX,31.9379,-95.8151,,970
75855,OAKWOOD,TX,31.5123,-95.837,,2242
75856,PENNINGTON,TX,31.184,-95.2021,,195
75858,RATCLIFF,TX,31.3833,-95.0619,P,100
75859,STREETMAN,TX,31.8866,-96.2357,,2212
75865,WOODLAKE,TX,31.0286,-95.0328,P,22
75880,TENNESSEE COLONY,TX,31.8355,-95.8386,U,0
75884,TENNESSEE COLONY,TX,31.8355,-95.8386,U,4156
75886,TENNESSEE COLONY,TX,31.809,-95.9038,U,2959
75925,ALTO,TX,31.6477,-95.0887,,3635
75926,APPLE SPRINGS,TX,31.2803,-94.9682,,1066
75928,BON WIER,TX,30.678,-93.7408,,1181
75929,BROADDUS,TX,31.2496,-94.1918,,1415
75930,BRONSON,TX,31.3312,-94.0309,,1954
75931,BROOKELAND,TX,31.123,-94.0297,,2446
75932,BURKEVILLE,TX,30.9799,-93.6409,,1331
75933,CALL,TX,30.5199,-93.8048,,1290
75934,CAMDEN,TX,30.8999,-94.7547,P,71
75936,CHESTER,TX,30.9462,-94.5907,,848
75938,COLMESNEIL,TX,30.9039,-94.3332,,2432
75942,DOUCETTE,TX,30.8173,-94.3979,P,125
75948,HEMPHILL,TX,31.2906,-93.7695,,5582
75951,JASPER,TX,30.9355,-94.1631,,14370
75956,KIRBYVILLE,TX,30.696,-94.0061,,7435
75959,MILAM,TX,31.4968,-93.8385,,821
75960,MOSCOW,TX,30.9214,-94.9102,,816
75966,NEWTON,TX,30.8576,-93.7272,,4209
75968,PINELAND,TX,31.2156,-93.9739,,1819
75974,TENAHA,TX,31.9342,-94.2571,,2860
75975,TIMPSON,TX,31.8252,-94.3756,,3373
75976,WELLS,TX,31.5099,-95.0005,P,1047
75977,WIERGATE,TX,31.0672,-93.8053,,570
75980,ZAVALLA,TX,31.141,-94.3184,,2453
75990,WOODVILLE,TX,30.7753,-94.4156,U,0
76041,FORRESTON,TX,32.2425,-96.8645,,395
76061,LILLIAN,TX,32.5037,-97.1746,P,192
76068,MINERAL WELLS,TX,32.8086,-98.1125,P,0
76077,RAINBOW,TX,32.2819,-97.7038,,555
76101,FORT WORTH,TX,32.7254,-97.3208,P,0
76147,FORT WORTH,TX,32.7254,-97.3208,P,0
76150,FORT WORTH,TX,32.7254,-97.3208,U,0
76155,FORT WORTH,TX,32.8175,-97.0525,,5647
76161,FORT WORTH,TX,32.7254,-97.3208,P,0
76162,FORT WORTH,TX,32.7254,-97.3208,P,0
76163,FORT WORTH,TX,32.7254,-97.3208,P,0
76166,FORT WORTH,TX,32.73,-97.32,U,0
76181,FORT WORTH,TX,32.7254,-97.3208,P,0
76185,FORT WORTH,TX,32.7254,-97.3208,P,0
76190,FORT WORTH,TX,32.8314,-97.3033,U,0
76191,FORT WORTH,TX,32.7254,-97.3208,U,0
76192,FORT WORTH,TX,32.7254,-97.3208,U,0
76193,FORT WORTH,TX,32.7254,-97.3208,U,0
76195,FORT WORTH,TX,32.7254,-97.3208,U,0
76196,FORT WORTH,TX,32.7574,-97.3374,U,0
76197,FORT WORTH,TX,32.7254,-97.3208,U,0
76198,FORT WORTH,TX,32.7254,-97.3208,U,0
76199,FORT WORTH,TX,32.7254,-97.3208,U,0
76306,WICHITA FALLS,TX,33.9517,-98.5134,,14664
76307,WICHITA FALLS,TX,33.9136,-98.4933,P,0
76311,SHEPPARD AFB,TX,33.9847,-98.5039,,6349
